Name,Category,Density,ElasticModulus,DampingRatio,Thickness,PoissonRatio
Gypsum 844kg/m3 15mm,Gypsum,844,2.45E+09,0.01,0.015,0.3
Gypsum 895kg/m3 12.5mm,Gypsum,895,3.64E+09,0.01,0.0125,0.3
Gypsum 892kg/m3 19mm,Gypsum,892,3.27E+09,0.01,0.019,0.3
Gypsum 880kg/m3 12.5mm,Gypsum,880,3.27E+09,0.01,0.0125,0.3
Gypsum 1194kg/m3 12.5mm,Gypsum,1194,4.26E+09,0.01,0.0125,0.3
Gypsum 866kg/m3 15mm,Gypsum,866,3.41E+09,0.01,0.015,0.3
Gypsum 717kg/m3 12mm,Gypsum,717,1.77E+09,0.01,0.012,0.3
Gypsum 880kg/m3 12.5mm,Gypsum,880,3.30E+09,0.009,0.0125,0.3
Gypsum 867kg/m3 15mm,Gypsum,867,3.10E+09,0.009,0.015,0.3
Gypsum 816kg/m3 12.5mm,Gypsum,816,2.60E+09,0.009,0.0125,0.3
Gypsum 820kg/m3 15mm,Gypsum,820,2.70E+09,0.009,0.015,0.3
Gypsum 1024kg/m3 12.5mm,Gypsum,1024,5.20E+09,0.009,0.0125,0.3
Gypsum 1000kg/m3 15mm,Gypsum,1000,4.80E+09,0.009,0.015,0.3
Gypsum 626kg/m3 9.5mm,Gypsum,626,1.20E+09,0.009,0.0095,0.3
Gypsum 640kg/m3 12.5mm,Gypsum,640,1.30E+09,0.009,0.0125,0.3
Gypsum 667kg/m3 15mm,Gypsum,667,1.40E+09,0.009,0.015,0.3
Gypsum 824kg/m3 12.5mm,Gypsum,824,2.70E+09,0.009,0.0125,0.3
Gypsum 847kg/m3 15mm,Gypsum,847,2.90E+09,0.009,0.015,0.3
Gypsum 737kg/m3 19mm,Gypsum,737,1.90E+09,0.009,0.019,0.3
Gypsum 864kg/m3 25mm,Gypsum,864,3.10E+09,0.009,0.025,0.3
Gypsum 917kg/m3 6mm,Gypsum,917,3.70E+09,0.009,0.006,0.3
Gypsum 864kg/m3 12.5mm,Gypsum,864,3.10E+09,0.009,0.0125,0.3
Gypsum 720kg/m3 12.5mm,Gypsum,720,1.80E+09,0.009,0.0125,0.3
Gypsum 790kg/m3 15mm,Gypsum,790,2.40E+09,0.009,0.015,0.3
Gypsum 1000kg/m3 12mm,Gypsum,1000,4.67E+09,0.008,0.012,0.3
Gypsum 680kg/m3 12.5mm,Gypsum,680,1.98E+09,0.01,0.0125,0.3
FibreCement 720kg/m3 12.5mm,FibreCement,720,2.29E+09,0.01,0.0125,0.3
