Name,Category,Density,ElasticModulus,DampingRatio,Thickness,PoissonRatio
Other 1440kg/m3 3.5mm,Other,1440,1.00E+08,0.09,0.0035,0.3
Other 2000kg/m3 2.5mm,Other,2000,1.00E+07,0.015,0.0025,0.3
Other 920kg/m3 4mm,Other,920,3.00E+07,0.02,0.004,0.5
Other 920kg/m3 4mm,Other,920,3.01E+07,0.01,0.004,0.3
Other 924kg/m3 12.7mm,Other,924,2.96E+09,0.01,0.0127,0.3
Other 560kg/m3 6mm,Other,560,4.37E+09,0.01,0.006,0.3
Wood 1440kg/m3 25mm,Wood,1440,2.87E+09,0.01,0.025,0.3
Masonry 850kg/m3 20mm,Masonry,850,2.45E+09,0.001,0.02,0.3
Other 1200kg/m3 150mm,Other,1200,4.68E+09,0.01,0.15,0.3
Other 80kg/m3 20mm,Other,80,6.75E+08,0.01,0.02,0.3
Other 1000kg/m3 24mm,Other,1000,4.67E+09,0.01,0.024,0.3
Other 1170kg/m3 6mm,Other,1170,5.06E+09,0.018,0.006,0.3
Other 1560kg/m3 6mm,Other,1560,7.29E+09,0.01,0.006,0.3
Other 2100kg/m3 9mm,Other,2100,1.17E+10,0.01,0.009,0.3
Other 2900kg/m3 1mm,Other,2900,8.52E+10,0.03,0.001,0.3
Other 1428kg/m3 140mm,Other,1428,6.33E+09,0.015,0.14,0.3
Other 2100kg/m3 110mm,Other,2100,2.01E+10,0.015,0.11,0.3
Other 1180kg/m3 10mm,Other,1180,8.51E+09,0.01,0.01,0.3
Other 1157kg/m3 140mm,Other,1157,3.37E+09,0.015,0.14,0.3
Other 1800kg/m3 15mm,Other,1800,4.68E+09,0.001,0.015,0.3
Other 2100kg/m3 9.525mm,Other,2100,1.17E+10,0.01,0.009525,0.3
Other 878kg/m3 6.4mm,Other,878,3.27E+09,0.01,0.0064,0.3
Other 7800kg/m3 0.45mm,Other,7800,2.10E+11,0.01,0.00045,0.3
Other 1194kg/m3 12.5mm,Other,1194,4.26E+09,0.01,0.0125,0.3
Other 1250kg/m3 10mm,Other,1250,3.70E+08,0.03,0.01,0.3
Other 1444kg/m3 6mm,Other,1444,5.78E+09,0.01,0.006,0.3
Other 1150kg/m3 12.5mm,Other,1150,3.46E+09,0.004,0.0125,0.3
Other 1150kg/m3 18mm,Other,1150,3.72E+09,0.007,0.018,0.3
Other 1560kg/m3 6.35mm,Other,1560,7.29E+09,0.01,0.00635,0.3
Other 1200kg/m3 140mm,Other,1200,3.76E+09,0.006,0.14,0.3
Other 1880kg/m3 140mm,Other,1880,7.77E+09,0.006,0.14,0.3
Other 1200kg/m3 190mm,Other,1200,3.76E+09,0.006,0.19,0.3
Other 1905kg/m3 190mm,Other,1905,8.08E+09,0.006,0.19,0.3
Other 1200kg/m3 240mm,Other,1200,3.76E+09,0.006,0.24,0.3
Other 1912kg/m3 240mm,Other,1912,8.17E+09,0.006,0.24,0.3
Other 795kg/m3 12.7mm,Other,795,2.80E+09,0.007,0.0127,0.3
Other 740kg/m3 12.5mm,Other,740,3.27E+09,0.01,0.0125,0.3
Other 880kg/m3 12.5mm,Other,880,3.27E+09,0.01,0.0125,0.3
Other 432kg/m3 12.7mm,Other,432,9.40E+08,0.02,0.0127,0.3
Other 2900kg/m3 31mm,Other,2900,2.43E+10,0.005,0.031,0.3
Other 2340kg/m3 150mm,Other,2340,1.10E+10,0.006,0.15,0.3
Other 1300kg/m3 100mm,Other,1300,3.70E+09,0.015,0.1,0.3
Other 2340kg/m3 100mm,Other,2340,1.50E+10,0.006,0.1,0.3
Other 1300kg/m3 100mm,Other,1300,3.70E+09,0.002,0.1,0.3
Other 1600kg/m3 100mm,Other,1600,3.70E+09,0.015,0.1,0.3
Other 2350kg/m3 30mm,Other,2350,2.95E+10,0.005,0.03,0.3
Other 1250kg/m3 150mm,Other,1250,5.14E+09,0.015,0.15,0.3
Other 1360kg/m3 9mm,Other,1360,7.43E+09,0.02,0.009,0.3
Other 1347kg/m3 5.5mm,Other,1347,7.72E+09,0.02,0.0055,0.3
Other 1342kg/m3 6mm,Other,1342,7.63E+09,0.02,0.006,0.3
Other 1620kg/m3 9mm,Other,1620,1.12E+10,0.018,0.009,0.3
Other 1150kg/m3 16mm,Other,1150,5.22E+09,0.02,0.016,0.3
Other 7800kg/m3 0.5mm,Other,7800,2.15E+12,0.02,0.0005,0.3
Other 7800kg/m3 0.53mm,Other,7800,2.10E+11,0.01,0.00053,0.3
Other 7800kg/m3 0.65mm,Other,7800,2.10E+11,0.01,0.00065,0.3
Other 1600kg/m3 110mm,Other,1600,8.90E+09,0.003,0.11,0.3
Other 1600kg/m3 122mm,Other,1600,8.90E+09,0.003,0.122,0.3
Other 600kg/m3 75mm,Other,600,1.08E+09,0.02,0.075,0.3
Other 600kg/m3 100mm,Other,600,1.08E+09,0.02,0.1,0.3
Other 650kg/m3 100mm,Other,650,1.37E+09,0.02,0.1,0.3
Other 690kg/m3 100mm,Other,690,1.64E+09,0.02,0.1,0.3
Other 886kg/m3 140mm,Other,886,1.51E+09,0.006,0.14,0.3
Other 838kg/m3 190mm,Other,838,1.28E+09,0.006,0.19,0.3
Other 730kg/m3 240mm,Other,730,8.45E+08,0.006,0.24,0.3
Other 1880kg/m3 140mm,Other,1880,1.44E+10,0.006,0.14,0.3
Other 1905kg/m3 190mm,Other,1905,1.50E+10,0.006,0.19,0.3
Other 1912kg/m3 240mm,Other,1912,1.52E+10,0.006,0.24,0.3
Glazing 2430kg/m3 6mm,Glazing,2430,1.93E+10,0.06,0.006,0.3
Glazing 2430kg/m3 6mm,Glazing,2430,3.26E+10,0.06,0.006,0.3
Glazing 2430kg/m3 6mm,Glazing,2430,2.32E+10,0.05,0.006,0.3
Glazing 2430kg/m3 6mm,Glazing,2430,2.85E+10,0.055,0.006,0.3
Other 7800kg/m3 0.61mm,Other,7800,2.10E+11,0.02,0.00061,0.3
Wood 641kg/m3 25.4mm,Wood,641,1.25E+10,0.035,0.0254,0.3
Wood 562kg/m3 15.08mm,Wood,562,3.81E+09,0.03,0.01508,0.3
Other 1105kg/m3 7mm,Other,1105,5.91E+09,0.006,0.007,0.3
Other 960kg/m3 4.75mm,Other,960,8.29E+08,0.01,0.00475,0.3
Wood 700kg/m3 19.05mm,Wood,700,3.27E+09,0.03,0.01905,0.3
Wood 620kg/m3 19.05mm,Wood,620,3.27E+09,620,0.01905,0.3
Wood 595kg/m3 9mm,Wood,595,3.27E+09,0.03,0.009,0.3
Wood 595kg/m3 12mm,Wood,595,3.27E+09,0.03,0.012,0.3
Wood 595kg/m3 15mm,Wood,595,3.27E+09,0.03,0.015,0.3
Wood 595kg/m3 18mm,Wood,595,3.27E+09,0.03,0.018,0.3
Wood 595kg/m3 20mm,Wood,595,3.27E+09,0.03,0.02,0.3
Wood 595kg/m3 25mm,Wood,595,3.27E+09,0.03,0.025,0.3
Wood 595kg/m3 30mm,Wood,595,3.27E+09,0.03,0.03,0.3
Wood 495kg/m3 14mm,Wood,495,3.27E+09,0.03,0.014,0.3
Wood 495kg/m3 15mm,Wood,495,3.27E+09,0.03,0.015,0.3
Wood 475kg/m3 16mm,Wood,475,3.27E+09,0.03,0.016,0.3
Wood 475kg/m3 18mm,Wood,475,3.27E+09,0.03,0.018,0.3
Wood 475kg/m3 20mm,Wood,475,3.27E+09,0.03,0.02,0.3
Wood 475kg/m3 22mm,Wood,475,3.27E+09,0.03,0.022,0.3
Wood 475kg/m3 25mm,Wood,475,3.27E+09,0.03,0.025,0.3
Wood 475kg/m3 30mm,Wood,475,3.27E+09,0.01,0.03,0.3
Other 488kg/m3 22mm,Other,488,3.27E+09,0.01,0.022,0.3
Other 448kg/m3 32mm,Other,448,3.27E+09,0.01,0.032,0.3
Other 408kg/m3 45mm,Other,408,3.27E+09,0.01,0.045,0.3
Other 740kg/m3 4mm,Other,740,3.27E+09,0.01,0.004,0.3
Other 710kg/m3 6mm,Other,710,3.27E+09,0.01,0.006,0.3
Other 700kg/m3 8mm,Other,700,3.27E+09,0.01,0.008,0.3
Other 495kg/m3 15mm,Other,495,3.27E+09,0.01,0.015,0.3
Other 475kg/m3 18mm,Other,475,3.27E+09,0.01,0.018,0.3
Other 600kg/m3 12mm,Other,600,3.27E+09,0.02,0.012,0.3
Other 600kg/m3 15mm,Other,600,3.27E+09,0.02,0.015,0.3
Other 655kg/m3 18mm,Other,655,3.27E+09,0.02,0.018,0.3
Other 645kg/m3 3mm,Other,645,3.27E+09,0.02,0.003,0.3
Other 640kg/m3 4mm,Other,640,3.27E+09,0.02,0.004,0.3
Other 780kg/m3 5.5mm,Other,780,3.27E+09,0.02,0.0055,0.3
Other 680kg/m3 9mm,Other,680,3.27E+09,0.02,0.009,0.3
Other 640kg/m3 12mm,Other,640,3.27E+09,0.02,0.012,0.3
Other 620kg/m3 15mm,Other,620,3.27E+09,0.02,0.015,0.3
Other 610kg/m3 18mm,Other,610,3.27E+09,0.02,0.018,0.3
Other 580kg/m3 24mm,Other,580,3.27E+09,0.02,0.024,0.3
Other 550kg/m3 32mm,Other,550,3.27E+09,0.02,0.032,0.3
Polymer 680kg/m3 9mm,Polymer,680,3.27E+09,0.02,0.009,0.3
Polymer 620kg/m3 15mm,Polymer,620,3.27E+09,0.02,0.015,0.3
Polymer 610kg/m3 18mm,Polymer,610,3.27E+09,0.02,0.018,0.3
Polymer 580kg/m3 24mm,Polymer,580,3.27E+09,0.02,0.024,0.3
Polymer 640kg/m3 12mm,Polymer,640,3.27E+09,0.02,0.012,0.3
Polymer 550kg/m3 32mm,Polymer,550,3.27E+09,0.02,0.032,0.3
Other 210kg/m3 16mm,Other,210,5.76E+07,0.03,0.016,0.3
Other 7800kg/m3 0.64mm,Other,7800,2.10E+11,0.02,0.00064,0.3
Other 660kg/m3 17.46mm,Other,660,2.74E+09,0.03,0.01746,0.3
Other 1900kg/m3 8mm,Other,1900,1.49E+10,0.01,0.008,0.3
Other 490kg/m3 25.4mm,Other,490,4.95E+09,0.035,0.0254,0.3
Other 866kg/m3 15mm,Other,866,3.41E+09,0.01,0.015,0.3
Other 690kg/m3 12.5mm,Other,690,2.01E+09,0.01,0.0125,0.3
Other 1900kg/m3 1.84mm,Other,1900,2.65E+08,0.03,0.00184,0.3
Polymer 1170kg/m3 6mm,Polymer,1170,5.06E+09,0.018,0.006,0.3
Other 1800kg/m3 2.5mm,Other,1800,2.25E+08,0.03,0.0025,0.3
Other 850kg/m3 13mm,Other,850,6.43E+08,0.05,0.013,0.3
Other 850kg/m3 16mm,Other,850,7.18E+08,0.05,0.016,0.3
Other 1275kg/m3 18mm,Other,1275,4.25E+09,0.01,0.018,0.3
Other 950kg/m3 9mm,Other,950,4.44E+09,0.01,0.009,0.3
Other 320kg/m3 12.5mm,Other,320,5.00E+08,0.02,0.0125,0.3
Other 7800kg/m3 0.6mm,Other,7800,2.10E+11,0.09,0.0006,0.3
Other 1460kg/m3 17mm,Other,1460,9.50E+08,0.04,0.017,0.3
Polymer 700kg/m3 75mm,Polymer,700,4.45E+09,0.016,0.075,0.3
Other 1230kg/m3 12.7mm,Other,1230,5.91E+09,0.01,0.0127,0.3
Other 2500kg/m3 6mm,Other,2500,2.10E+10,0.06,0.006,0.3
Other 2500kg/m3 6mm,Other,2500,5.07E+10,0.033,0.006,0.3
Other 2500kg/m3 6mm,Other,2500,3.56E+10,0.06,0.006,0.3
Other 2500kg/m3 6mm,Other,2500,5.07E+10,0.06,0.006,0.3
Other 2430kg/m3 6mm,Other,2430,2.32E+10,0.05,0.006,0.3
Other 2430kg/m3 6mm,Other,2430,2.85E+10,0.055,0.006,0.3
Other 2500kg/m3 6mm,Other,2500,6.04E+10,0.02,0.006,0.3
Other 2500kg/m3 6mm,Other,2500,6.69E+10,0.02,0.006,0.3
Gypsum 641kg/m3 12.7mm,Gypsum,641,1.64E+09,0.008,0.0127,0.3
Other 1325kg/m3 25.4mm,Other,1325,1.25E+10,0.01,0.0254,0.3
Gypsum 776kg/m3 12.7mm,Gypsum,776,2.34E+09,0.008,0.0127,0.3
Other 750kg/m3 12.7mm,Other,750,2.19E+09,0.01,0.0127,0.3
Gypsum 672kg/m3 12.7mm,Gypsum,672,1.85E+09,0.01,0.0127,0.3
Gypsum 1600kg/m3 50.8mm,Gypsum,1600,1.91E+10,0.015,0.0508,0.3
Gypsum 777kg/m3 19.05mm,Gypsum,777,2.35E+09,0.011,0.01905,0.3
Other 720kg/m3 19.05mm,Other,720,2.08E+09,0.01,0.01905,0.3
Gypsum 641kg/m3 9.52mm,Gypsum,641,1.64E+09,0.008,0.00952,0.3
Gypsum 720kg/m3 9.52mm,Gypsum,720,2.08E+09,0.01,0.00952,0.3
Gypsum 784kg/m3 15.875mm,Gypsum,784,2.41E+09,0.01,0.015875,0.3
Gypsum 690kg/m3 15.875mm,Gypsum,690,1.83E+09,0.01,0.015875,0.3
Other 754kg/m3 15.875mm,Other,754,2.22E+09,0.01,0.015875,0.3
Other 692kg/m3 15.875mm,Other,692,1.84E+09,0.01,0.015875,0.3
Other 2200kg/m3 22.225mm,Other,2200,3.66E+10,0.04,0.022225,0.3
Other 1067kg/m3 15mm,Other,1067,3.15E+09,0.008,0.015,0.3
Other 800kg/m3 12.5mm,Other,800,2.68E+09,0.008,0.0125,0.3
Other 800kg/m3 15mm,Other,800,2.68E+09,0.008,0.015,0.3
Other 864kg/m3 12.5mm,Other,864,2.84E+09,0.008,0.0125,0.3
Other 853kg/m3 15mm,Other,853,2.81E+09,0.008,0.015,0.3
Other 920kg/m3 15mm,Other,920,2.95E+09,0.008,0.015,0.3
Other 960kg/m3 12.5mm,Other,960,3.02E+09,0.008,0.0125,0.3
Other 664kg/m3 12.5mm,Other,664,2.21E+09,0.008,0.0125,0.3
Other 680kg/m3 15mm,Other,680,2.28E+09,0.008,0.015,0.3
Other 653kg/m3 9.5mm,Other,653,2.17E+09,0.008,0.0095,0.3
Other 700kg/m3 12.5mm,Other,700,3.64E+09,0.01,0.0125,0.3
Other 895kg/m3 12.5mm,Other,895,3.64E+09,0.01,0.0125,0.3
Other 710kg/m3 19mm,Other,710,3.27E+09,0.01,0.019,0.3
Other 892kg/m3 19mm,Other,892,3.27E+09,0.01,0.019,0.3
Other 710kg/m3 12.5mm,Other,710,2.82E+09,0.01,0.0125,0.3
Other 750kg/m3 10mm,Other,750,3.32E+09,0.01,0.01,0.3
Other 740kg/m3 15mm,Other,740,2.45E+09,0.01,0.015,0.3
Other 840kg/m3 12.5mm,Other,840,2.82E+09,0.01,0.0125,0.3
Other 780kg/m3 10mm,Other,780,3.32E+09,0.01,0.01,0.3
Other 850kg/m3 15mm,Other,850,2.45E+09,0.01,0.015,0.3
Other 900kg/m3 12.5mm,Other,900,2.82E+09,0.01,0.0125,0.3
Other 900kg/m3 10mm,Other,900,3.32E+09,0.01,0.01,0.3
Other 900kg/m3 15mm,Other,900,2.45E+09,0.01,0.015,0.3
Other 840kg/m3 10mm,Other,840,3.32E+09,0.01,0.01,0.3
Other 840kg/m3 15mm,Other,840,2.45E+09,0.01,0.015,0.3
Other 680kg/m3 9.5mm,Other,680,3.32E+09,0.01,0.0095,0.3
Other 7130kg/m3 1mm,Other,7130,1.38E+10,0.01,0.001,0.3
Other 20kg/m3 20mm,Other,20,1.00E+06,0.001,0.02,0.3
Other 30kg/m3 250mm,Other,30,1.00E+06,0.001,0.25,0.3
Polymer 10kg/m3 10mm,Polymer,10,9.00E+06,0.001,0.01,0.3
Polymer 15kg/m3 20mm,Polymer,15,9.00E+06,0.001,0.02,0.3
Gypsum 690kg/m3 15.9mm,Gypsum,690,1.83E+09,0.01,0.0159,0.3
Gypsum 772kg/m3 12.7mm,Gypsum,772,2.29E+09,0.008,0.0127,0.3
Gypsum 784kg/m3 15.9mm,Gypsum,784,2.41E+09,0.01,0.0159,0.3
Gypsum 777kg/m3 19.1mm,Gypsum,777,2.35E+09,0.011,0.0191,0.3
Gypsum 795kg/m3 12.7mm,Gypsum,795,2.80E+09,0.007,0.0127,0.3
Gypsum 720kg/m3 9.5mm,Gypsum,720,2.08E+09,0.01,0.0095,0.3
Gypsum 692kg/m3 15.9mm,Gypsum,692,1.84E+09,0.01,0.0159,0.3
Gypsum 750kg/m3 12.7mm,Gypsum,750,2.19E+09,0.01,0.0127,0.3
Gypsum 754kg/m3 15.9mm,Gypsum,754,2.22E+09,0.01,0.0159,0.3
Gypsum 720kg/m3 19.1mm,Gypsum,720,2.08E+09,0.01,0.0191,0.3
Gypsum 1325kg/m3 25.4mm,Gypsum,1325,1.25E+10,0.01,0.0254,0.3
Gypsum 921kg/m3 6.4mm,Gypsum,921,2.97E+09,0.008,0.0064,0.3
Gypsum 767kg/m3 15.9mm,Gypsum,767,2.27E+09,0.008,0.0159,0.3
Gypsum 710kg/m3 12.7mm,Gypsum,710,2.02E+09,0.008,0.0127,0.3
Gypsum 755kg/m3 15.9mm,Gypsum,755,2.21E+09,0.008,0.0159,0.3
Gypsum 720kg/m3 9.5mm,Gypsum,720,2.00E+09,0.01,0.0095,0.3
Gypsum 800kg/m3 12.7mm,Gypsum,800,3.00E+09,0.01,0.0127,0.3
Gypsum 692kg/m3 15.9mm,Gypsum,692,2.00E+09,0.01,0.0159,0.3
Gypsum 672.5300293kg/m3 15.91mm,Gypsum,672.5300293,2.50E+09,0.008,0.01591,0.3
Gypsum 732.2800293kg/m3 12.7mm,Gypsum,732.2800293,3.20E+09,0.008,0.0127,0.3
Gypsum 705.5100098kg/m3 15.88mm,Gypsum,705.5100098,2.70E+09,0.008,0.01588,0.3
Gypsum 464.5700073kg/m3 12.7mm,Gypsum,464.5700073,1.14E+09,0.008,0.0127,0.3
Gypsum 811.0200195kg/m3 12.7mm,Gypsum,811.0200195,1.20E+09,0.045,0.0127,0.3
Gypsum 862.9899902kg/m3 15.88mm,Gypsum,862.9899902,1.20E+09,0.045,0.01588,0.3
Gypsum 960.6300049kg/m3 12.7mm,Gypsum,960.6300049,3.41E+09,0.008,0.0127,0.3
Gypsum 894.4899902kg/m3 15.88mm,Gypsum,894.4899902,3.07E+09,0.008,0.01588,0.3
Gypsum 732.2800293kg/m3 12.7mm,Gypsum,732.2800293,2.24E+09,0.008,0.0127,0.3
Gypsum 737.0100098kg/m3 15.75mm,Gypsum,737.0100098,2.27E+09,0.008,0.01575,0.3
Gypsum 750kg/m3 25mm,Gypsum,750,2.34E+09,0.008,0.025,0.3
Gypsum 598.4299927kg/m3 15.88mm,Gypsum,598.4299927,2.00E+09,0.008,0.01588,0.3
Gypsum 803.1500244kg/m3 12.7mm,Gypsum,803.1500244,2.61E+09,0.008,0.0127,0.3
Gypsum 862.9899902kg/m3 15.88mm,Gypsum,862.9899902,3.80E+09,0.008,0.01588,0.3
Gypsum 522.8300171kg/m3 15.88mm,Gypsum,522.8300171,1.53E+09,0.008,0.01588,0.3
Gypsum 737.0100098kg/m3 15.88mm,Gypsum,737.0100098,2.27E+09,0.008,0.01588,0.3
Gypsum 614.1699829kg/m3 12.7mm,Gypsum,614.1699829,1.64E+09,0.008,0.0127,0.3
Gypsum 674.0200195kg/m3 15.88mm,Gypsum,674.0200195,1.95E+09,0.008,0.01588,0.3
Gypsum 824kg/m3 15.9mm,Gypsum,824,1.20E+09,0.05,0.0159,0.3
Gypsum 863kg/m3 15.9mm,Gypsum,863,1.20E+09,0.045,0.0159,0.3
Gypsum 850kg/m3 13mm,Gypsum,850,6.43E+08,0.05,0.013,0.3
Gypsum 850kg/m3 16mm,Gypsum,850,7.18E+08,0.05,0.016,0.3
Gypsum 874.4kg/m3 34.9mm,Gypsum,874.4,1.00E+08,0.05,0.0349,0.3
Gypsum 2200kg/m3 22.2mm,Gypsum,2200,3.66E+10,0.04,0.0222,0.3
InsulatedPanel 2240kg/m3 4mm,InsulatedPanel,2240,7.00E+10,0.01,0.004,0.3
Masonry 1600kg/m3 10mm,Masonry,1600,3.00E+09,0.01,0.01,0.3
Masonry 1776kg/m3 22mm,Masonry,1776,7.00E+09,0.01,0.022,0.3
Masonry 2430kg/m3 50mm,Masonry,2430,1.10E+10,0.03,0.05,0.3
Masonry 1600kg/m3 88mm,Masonry,1600,8.90E+09,0.003,0.088,0.3
Masonry 775kg/m3 152mm,Masonry,775,1.87E+09,0.006,0.152,0.3
Masonry 938kg/m3 152mm,Masonry,938,2.54E+09,0.006,0.152,0.3
Masonry 1101kg/m3 152mm,Masonry,1101,3.29E+09,0.006,0.152,0.3
Masonry 1710kg/m3 152mm,Masonry,1710,6.65E+09,0.006,0.152,0.3
Other 1873kg/m3 152mm,Other,1873,7.69E+09,0.006,0.152,0.3
Masonry 2036kg/m3 152mm,Masonry,2036,8.79E+09,0.006,0.152,0.3
Masonry 1390kg/m3 203.2mm,Masonry,1390,1.10E+10,0.01,0.2032,0.3
Masonry 690kg/m3 101.6mm,Masonry,690,1.64E+09,0.02,0.1016,0.3
Masonry 1680kg/m3 19.1mm,Masonry,1680,6.60E+09,0.008,0.0191,0.3
Glazing 2430kg/m3 3mm,Glazing,2430,4.60E+10,0.01,0.003,0.3
Glazing 1170kg/m3 6.3mm,Glazing,1170,5.06E+09,0.018,0.0063,0.3
Glazing 1210kg/m3 6.3mm,Glazing,1210,2.20E+09,0.02,0.0063,0.3
Wood 660kg/m3 17.5mm,Wood,660,2.74E+09,0.03,0.0175,0.3
Wood 562kg/m3 15.1mm,Wood,562,3.15E+09,0.016,0.0151,0.3
Wood 438kg/m3 80mm,Wood,438,3.20E+09,0.015,0.08,0.3
Wood 700kg/m3 19.1mm,Wood,700,3.27E+09,0.03,0.0191,0.3
Other 224.2584893kg/m3 15.875032mm,Other,224.2584893,4.00E+07,0.03,0.015875032,0.3
Wood 960kg/m3 4.7mm,Wood,960,8.29E+08,0.01,0.0047,0.3
Wood 432kg/m3 12.7mm,Wood,432,9.40E+08,0.02,0.0127,0.3
Wood 277kg/m3 12.7mm,Wood,277,1.00E+08,0.04,0.0127,0.3
Wood 370kg/m3 50mm,Wood,370,3.70E+08,0.03,0.05,0.3
Wood 490kg/m3 25.4mm,Wood,490,4.95E+09,0.035,0.0254,0.3
Wood 385kg/m3 25.4mm,Wood,385,8.00E+09,0.035,0.0254,0.3
Other 4000kg/m3 3mm,Other,4000,3.00E+07,0.2,0.003,0.3
InsulatedPanel 7800kg/m3 0.4mm,InsulatedPanel,7800,2.10E+11,0.01,0.0004,0.3
FibreCement 1560kg/m3 6.3mm,FibreCement,1560,7.29E+09,0.01,0.0063,0.3
FibreCement 2100kg/m3 9.5mm,FibreCement,2100,1.17E+10,0.01,0.0095,0.3
FibreCement 1324kg/m3 19.049999mm,FibreCement,1324,5.24E+09,0.01,0.019049999,0.3
FibreCement 1105kg/m3 19.049999mm,FibreCement,1105,5.91E+09,0.006,0.019049999,0.3
FibreCement 1230kg/m3 12.7mm,FibreCement,1230,5.91E+09,0.01,0.0127,0.3
FibreCement 924kg/m3 12.7mm,FibreCement,924,2.96E+09,0.01,0.0127,0.3
FibreCement 1118kg/m3 12.7mm,FibreCement,1118,4.95E+09,0.01,0.0127,0.3
Other 2600kg/m3 1.9mm,Other,2600,8.00E+06,0.03,0.0019,0.3
Other 1800kg/m3 2.8mm,Other,1800,8.00E+06,0.03,0.0028,0.3
Polymer 1921kg/m3 3.8mm,Polymer,1921,8.00E+06,0.03,0.0038,0.3
Polymer 2600kg/m3 1.7mm,Polymer,2600,8.00E+06,0.03,0.0017,0.3
Polymer 950kg/m3 10mm,Polymer,950,1.70E+09,0.04,0.01,0.25
Polymer 920kg/m3 10mm,Polymer,920,4.00E+08,0.1,0.01,0.245
Polymer 920kg/m3 10mm,Polymer,920,3.00E+09,0.1,0.01,0.26
Polymer 1070kg/m3 10mm,Polymer,1070,3.00E+09,0.01,0.01,0.26
Polymer 1450kg/m3 10mm,Polymer,1450,8.00E+09,0.01,0.01,0.22
Polymer 900kg/m3 10mm,Polymer,900,1.60E+09,0.01,0.01,0.3
Polymer 1250kg/m3 10mm,Polymer,1250,2.24E+09,0.1,0.01,0.01
Polymer 1300kg/m3 10mm,Polymer,1300,2.70E+09,0.04,0.01,0.26
FibreCement 1600kg/m3 10mm,FibreCement,1600,6.00E+09,0.03,0.01,0.25
