Name,Category,Density,AirFlowResistivity,Thickness,MaterialDensity,SolidElasticModulus,SolidPoissonRatio,DampingRatio
FiberGlass 22kg/m3 64mm 9540 Rayl/m,FiberGlass,22,9540,0.064,2530,69000000000,0.276,0.2
FiberGlass 24kg/m3 75mm 13150 Rayl/m,FiberGlass,24,13150,0.075,2530,69000000000,0.276,0.2
FiberGlass 25kg/m3 90mm 14300 Rayl/m,FiberGlass,25,14300,0.09,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 50mm 20480 Rayl/m,FiberGlass,32,20480,0.05,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 70mm 16490 Rayl/m,FiberGlass,32,16490,0.07,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 80mm 17310 Rayl/m,FiberGlass,32,17310,0.08,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 90mm 19440 Rayl/m,FiberGlass,32,19440,0.09,2530,69000000000,0.276,0.2
FiberGlass 32kg/m3 100mm 18820 Rayl/m,FiberGlass,32,18820,0.1,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 55mm 3930 Rayl/m,FiberGlass,12,3930,0.055,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 60mm 4900 Rayl/m,FiberGlass,12,4900,0.06,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 75mm 2720 Rayl/m,FiberGlass,12,2720,0.075,2530,69000000000,0.276,0.2
FiberGlass 15kg/m3 100mm 4750 Rayl/m,FiberGlass,15,4750,0.1,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 130mm 4380 Rayl/m,FiberGlass,12,4380,0.13,2530,69000000000,0.276,0.2
FiberGlass 13kg/m3 130mm 4110 Rayl/m,FiberGlass,13,4110,0.13,2530,69000000000,0.276,0.2
FiberGlass 26kg/m3 130mm 10890 Rayl/m,FiberGlass,26,10890,0.13,2530,69000000000,0.276,0.2
FiberGlass 13kg/m3 75mm 4750 Rayl/m,FiberGlass,13,4750,0.075,2530,69000000000,0.276,0.2
FiberGlass 15kg/m3 100mm 5930 Rayl/m,FiberGlass,15,5930,0.1,2530,69000000000,0.276,0.2
FiberGlass 11kg/m3 130mm 3950 Rayl/m,FiberGlass,11,3950,0.13,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 55mm 4120 Rayl/m,FiberGlass,12,4120,0.055,2530,69000000000,0.276,0.2
FiberGlass 12kg/m3 75mm 4010 Rayl/m,FiberGlass,12,4010,0.075,2530,69000000000,0.276,0.2
FiberGlass 15kg/m3 100mm 6610 Rayl/m,FiberGlass,15,6610,0.1,2530,69000000000,0.276,0.2
